Provinsi,KabKota,Kemiskinan,RLS,Pengeluaran,IPM,UHH,Sanitasi,AirMinum,TPT,TPAK
ACEH,Simeulue,8.18055556,9.48,7148,66.41,65.28,71.56,87.45,2.57638889,71.15
ACEH,Aceh Singkil,20.36,3.80555556,8776,69.22,67.43,69.56,78.58,8.36,62.85
ACEH,Aceh Selatan,13.18,3.94444444,8180,67.44,64.04,62.55,79.65,6.46,60.85
ACEH,Aceh Tenggara,13.41,4.21527778,8030,69.44,68.22,62.71,86.71,6.43,69.62
ACEH,Aceh Timur,14.45,8.21,8577,67.83,68.74,66.75,83.16,7.13,59.48
ACEH,Aceh Tengah,15.26,4.34722222,10780,73.37,68.86,90.58,90.1,1.25694444,76.3
ACEH,Aceh Barat,0.80625,9.55,9593,71.67,67.99,89.6,94.22,7.09,60.05
ACEH,Aceh Besar,14.05,10.33,9644,73.58,69.79,87.4,82.36,3.40277778,61.67
ACEH,Pidie,19.59,9.0,9860,70.07,66.95,54.1,89.24,7.28,60.29
ACEH,Bireuen,13.25,9.29,8867,72.33,71.26,81.89,93.53,4.32,65.91
ACEH,Aceh Utara,17.43,3.77777778,8201,69.46,68.81,79.97,91.09,8.31,58.47
ACEH,Aceh Barat Daya,16.34,3.79861111,8428,,65.06,65.71,95.34,4.04,57.91
ACEH,Gayo Lues,8.36111111,8.04,8856,67.56,65.53,47.63,84.68,0.1,78.99
ACEH,Aceh Tamiang,13.34,3.96527778,8367,69.48,69.63,87.45,83.12,26.875,66.43
ACEH,Nagan Raya,18.23,0.38125,8292,69.31,69.24,74.86,90.13,2.35416667,64.99
ACEH,Aceh Jaya,13.23,3.82638889,9666,69.84,67.19,81.6,86.36,3.47,72.59
ACEH,Bener Meriah,19.16,10.0,11118,73.27,69.26,86.69,89.71,1.24,77.53
ACEH,Pidie Jaya,19.55,9.34,10290,73.06,70.18,74.3,93.46,3.57,57.77
ACEH,Kota Banda Aceh,3.34027778,5.57638889,16891,85.71,71.52,99.88,99.37,3.98611111,63.0
ACEH,Kota Sabang,15.32,11.18,11378,76.11,70.56,92.25,96.18,3.56,63.71
ACEH,Kota Langsa,4.83333333,11.12,12067,77.44,69.43,91.81,97.14,7.21,67.04
ACEH,Kota Lhokseumawe,11.16,11.11,11390,,71.64,93.1,94.44,11.16,63.91
ACEH,Gayo Lues,8.36111111,8.04,8856,67.56,65.53,47.63,84.68,0.1,78.99
ACEH,Aceh Tamiang,13.34,3.96527778,8367,69.48,69.63,87.45,83.12,26.875,66.43
ACEH,Kota Subulussalam,7.53472222,8.03,7385,65.27,64.07,69.71,60.87,6.26,63.78
ACEH,Aceh Selatan,13.18,3.94444444,8180,67.44,64.04,62.55,79.65,6.46,60.85
ACEH,Aceh Tenggara,13.41,4.21527778,8030,69.44,68.22,62.71,86.71,6.43,69.62
SUMATERA UTARA,Nias,7.23611111,2.52777778,6995,62.74,69.78,85.625,47.79,3.12,81.79
SUMATERA UTARA,Mandailing Natal,9.49,3.77083333,9771,67.19,62.65,35.73,73.78,6.12,69.79
SUMATERA UTARA,Tapanuli Selatan,8.08,9.29,11304,70.33,64.97,46.41,67.39,4.0,74.38
SUMATERA UTARA,Tapanuli Tengah,5.46527778,3.91666667,10138,69.61,67.24,57.56,68.81,7.24,75.05
SUMATERA UTARA,Tapanuli Utara,4.25,0.44375,11710,73.76,68.76,83.79,89.06,1.54,82.63
SUMATERA UTARA,Toba Samosir,4.02083333,10.57,12224,75.39,70.29,89.54,95.04,57.638889,80.38
SUMATERA UTARA,Labuhan Batu,3.84722222,9.25,11212,72.09,69.95,81.5,,2.54166667,61.84
SUMATERA UTARA,Asahan,9.35,8.08,11030,70.49,68.37,89.09,95.78,6.39,63.02
SUMATERA UTARA,Simalungun,3.89583333,4.17361111,11376,73.04,71.37,91.75,99.74,4.17,72.55
SUMATERA UTARA,Dairi,8.31,9.59,10504,71.84,69.19,92.35,91.9,1.49,85.73
SUMATERA UTARA,Karo,3.88194444,10.0,12412,74.83,71.58,84.33,91.43,1.07638889,84.56
SUMATERA UTARA,Deli Serdang,4.01,10.01,12291,75.53,71.77,96.37,98.18,9.13,66.78
SUMATERA UTARA,Langkat,10.12,3.79166667,11142,71.35,68.97,80.76,92.51,5.12,69.12
SUMATERA UTARA,Nias Selatan,7.30555556,6.06,7041,62.35,68.86,13.14,66.21,1.88194444,72.25
SUMATERA UTARA,Humbang Hasundutan,4.20138889,4.24305556,8016,69.41,69.51,91.65,91.95,1.06944444,84.17
SUMATERA UTARA,Pakpak Bharat,9.35,9.14,8254,67.94,65.96,90.14,70.69,1.36,87.7
SUMATERA UTARA,Samosir,5.47222222,9.44,8504,70.83,71.41,91.09,65.64,48.611111,84.38
SUMATERA UTARA,Serdang Bedagai,8.03,0.38125,11017,,68.82,93.19,98.14,1.89583333,66.75
SUMATERA UTARA,Batu Bara,12.38,8.07,10539,68.58,67.13,88.04,97.83,2.93055556,70.0
SUMATERA UTARA,Padang Lawas Utara,4.38888889,9.38,10055,70.11,67.22,67.17,77.58,3.19,76.82
SUMATERA UTARA,Padang Lawas,38.125,9.02,8921,68.64,67.13,59.62,77.84,4.07,75.23
SUMATERA UTARA,Labuhan Batu Selatan,8.53,8.09,11562,71.69,68.81,84.85,84.66,2.15972222,66.38
SUMATERA UTARA,Labuhan Batu Utara,10.02,8.41,11840,71.87,69.56,79.75,86.75,2.59722222,65.73
SUMATERA UTARA,Nias Utara,25.66,3.03472222,6155,62.82,69.55,46.09,58.17,3.0,74.27
SUMATERA UTARA,Nias Barat,26.42,2.97916667,5924,61.99,69.08,38.02,71.52,51.388889,82.08
SUMATERA UTARA,Kota Sibolga,12.33,10.41,11540,73.94,69.25,32.33,92.4,3.83333333,71.19
SUMATERA UTARA,Kota Tanjung Balai,13.04,9.45,11225,68.94,63.44,89.07,87.2,6.59,66.57
SUMATERA UTARA,Kota Pematang Siantar,8.52,11.29,12436,79.17,73.77,88.49,99.78,11.0,68.8
SUMATERA UTARA,Kota Tebing Tinggi,10.03,10.44,12939,75.42,70.95,95.88,99.35,8.37,67.19
SUMATERA UTARA,Kota Medan,8.34,11.48,14999,81.21,73.23,92.71,98.8,4.72916667,62.16
SUMATERA UTARA,Kota Binjai,2.64583333,4.81944444,11063,76.01,72.45,95.21,99.76,3.51388889,62.77
SUMATERA UTARA,Kota Padangsidimpuan,7.53,11.09,10965,75.48,69.05,51.33,,7.18,68.69
SUMATERA UTARA,Kota Gunungsitoli,16.45,3.76388889,8134,69.61,71.32,45.13,74.11,2.22222222,62.95
SUMATERA UTARA,Kota Tebing Tinggi,10.03,10.44,12939,75.42,70.95,95.88,99.35,8.37,67.19
SUMATERA UTARA,Kota Medan,8.34,11.48,14999,81.21,73.23,92.71,98.8,4.72916667,62.16
SUMATERA UTARA,Kota Medan,834.0,11.48,14999,81.21,73.23,92.71,98.8,4.72916667,62.16
SUMATERA BARAT,Kepulauan Mentawai,6.41666667,7.02,6321,61.35,64.73,71.05,55.46,1.38194444,82.57
SUMATERA BARAT,Pesisir Selatan,3.55555556,8.27,9270,70.03,70.96,71.4,76.23,2.75694444,66.59
SUMATERA BARAT,Solok,8.01,3.52083333,10215,69.24,68.79,47.63,78.09,2.13194444,71.21
SUMATERA BARAT,Sijunjung,6.08,8.12,10389,67.86,66.36,72.63,64.12,3.57,70.06
SUMATERA BARAT,Tanah Datar,4.54,3.76388889,10616,,70.12,53.73,86.5,2.10416667,66.88
SUMATERA BARAT,Padang Pariaman,7.22,3.52777778,11050,70.76,68.97,55.86,86.09,8.41,64.64
SUMATERA BARAT,Agam,3.09027778,4.00694444,9662,72.57,72.53,77.25,87.46,5.06,66.49
SUMATERA BARAT,Lima Puluh Kota,7.29,8.07,9668,69.68,69.84,55.69,68.93,2.25,71.33
SUMATERA BARAT,Pasaman,7.48,8.01,8440,66.77,67.59,45.26,82.57,2.30555556,69.35
SUMATERA BARAT,Solok Selatan,7.52,8.32,10367,69.23,68.01,58.57,81.01,2.25,72.11
SUMATERA BARAT,Dharmasraya,2.96527778,8.55,11324,71.76,,82.71,70.27,5.0,73.04
SUMATERA BARAT,Pasaman Barat,7.51,8.27,9089,68.76,67.94,70.28,81.47,5.02,66.93
SUMATERA BARAT,Kota Padang,2.31944444,11.59,14540,82.09,73.69,80.13,95.52,13.37,63.78
SUMATERA BARAT,Kota Solok,3.12,11.04,12168,78.41,73.73,91.4,96.55,5.15,66.51
SUMATERA BARAT,Kota Sawah Lunto,2.38,10.32,10195,72.88,70.01,86.45,88.27,6.38,68.05
SUMATERA BARAT,Kota Padang Panjang,2.72222222,5.02083333,10754,77.97,72.82,73.04,98.45,2.29166667,65.94
SUMATERA BARAT,Kota Bukittinggi,5.14,11.34,13331,80.07,74.05,89.93,97.05,6.09,67.42
SUMATERA BARAT,Kota Payakumbuh,6.16,4.72916667,13317,79.08,73.84,89.49,99.43,6.47,71.73
SUMATERA BARAT,Dharmasraya,2.96527778,8.55,11324,71.76,71.53,82.71,70.27,5.0,73.04
SUMATERA BARAT,Pasaman Barat,7.51,8.27,9089,68.76,67.94,70.28,81.47,5.02,66.93
SUMATERA BARAT,Kota Padang,2.31944444,11.59,14540,82.09,73.69,80.13,95.52,13.37,63.78
SUMATERA BARAT,Kota Pariaman,4.38,4.63194444,12818,77.07,70.38,79.56,97.69,6.09,62.7
RIAU,Kuantan Singingi,4.00694444,3.85416667,10309,70.06,68.06,87.98,85.78,2.06,67.02
RIAU,Indragiri Hulu,6.18,8.39,10260,70.01,70.26,82.82,64.84,3.32,68.45
RIAU,Indragiri Hilir,6.18,7.24,9945,66.63,67.98,49.64,89.6,1.29166667,68.56
